Sample	Sym_Num	Sym_ID	Env	Time	Rep	A_Count	B_Count	D_Count	Total_Count	Per_A	Per_B	Per_D	Log_A	Log_B	Log_D	Log_Total
999	2	AD	Light	2	1	5583	0	24159	29742	18.8	0	81.2	3.747	0	4.383	4.473
1000	2	AD	Light	2	1	5324	0	11551	16874	31.5	0	68.5	3.726	0	4.063	4.227
1212	2	AD	Light	2	2	1468	0	10367	11835	12.4	0	87.6	3.167	0	4.016	4.073
1216	2	AD	Light	2	2	248293	0	8959	257252	96.5	0	3.5	5.395	0	3.952	5.41
1218	2	AD	Light	2	2	506	0	704	1210	41.8	0	58.2	2.704	0	2.848	3.083
1219	2	AD	Light	2	2	122857	0	262	123118	99.8	0	0.2	5.089	0	2.418	5.09
1220	2	AD	Light	2	2	174973	0	13741	188714	92.7	0	7.3	5.243	0	4.138	5.276
1232	2	AD	Light	2	3	695	0	1554	2249	30.9	0	69.1	2.842	0	3.191	3.352
1236	2	AD	Light	2	3	51528	0	2754	54282	94.9	0	5.1	4.712	0	3.44	4.735
1238	2	AD	Light	2	3	0	0	2876	2876	0	0	100	0	0	3.459	3.459
1239	2	AD	Light	2	3	11393	0	47820	59213	19.2	0	80.8	4.057	0	4.68	4.772
1240	2	AD	Light	2	3	163704	0	866	164570	99.5	0	0.5	5.214	0	2.938	5.216
526	1	B	Dark	1	1	0	1226	0	1226	0	100	0	0	3.089	0	3.089
670	1	B	Dark	1	2	0	6303	0	6303	0	100	0	0	3.8	0	3.8
520	1	B	Light	1	1	0	704	0	704	0	100	0	0	2.848	0	2.848
658	1	B	Light	1	2	0	693	0	693	0	100	0	0	2.841	0	2.841
659	1	B	Light	1	2	0	11761	0	11761	0	100	0	0	4.07	0	4.07
796	1	B	Light	1	3	0	5308	0	5308	0	100	0	0	3.725	0	3.725
798	1	B	Light	1	3	0	1066	0	1066	0	100	0	0	3.028	0	3.028
799	1	B	Light	1	3	0	4381	0	4381	0	100	0	0	3.642	0	3.642
800	1	B	Light	1	3	0	4826	0	4826	0	100	0	0	3.684	0	3.684
948	1	B	Dark	2	1	0	23368	0	23368	0	100	0	0	4.369	0	4.369
949	1	B	Dark	2	1	0	13477	0	13477	0	100	0	0	4.13	0	4.13
950	1	B	Dark	2	1	0	29819	0	29819	0	100	0	0	4.474	0	4.474
1062	1	B	Dark	2	2	0	1431	0	1431	0	100	0	0	3.156	0	3.156
938	1	B	Light	2	1	0	15875	0	15875	0	100	0	0	4.201	0	4.201
1052	1	B	Light	2	2	0	868	0	868	0	100	0	0	2.938	0	2.938
1059	1	B	Light	2	2	0	2454	0	2454	0	100	0	0	3.39	0	3.39
1072	1	B	Light	2	3	0	1837	0	1837	0	100	0	0	3.264	0	3.264
1076	1	B	Light	2	3	0	279123	0	279123	0	100	0	0	5.446	0	5.446
1078	1	B	Light	2	3	0	586555	0	586555	0	100	0	0	5.768	0	5.768
1079	1	B	Light	2	3	0	113942	0	113942	0	100	0	0	5.057	0	5.057
1080	1	B	Light	2	3	0	186122	0	186122	0	100	0	0	5.27	0	5.27
